sample_id,condition_id,csv_row_id,source_pdf_path,npz_path,preview_path,extract_method,passed_quality,reason_codes,material_id,speed_rpm,temperature_c,r_bore_mm,r_outer_mm,z_width_mm,area_mm2,volume_mm3,min_thickness_mm,max_width_mm,sdf_zero_level_error_mm,semantic_hub_coverage,semantic_web_coverage,semantic_rim_coverage,mass_kg,polar_inertia_kg_mm2,sigma_vm_proxy_mpa,risk_score_proxy,dataset_version
F404_0425,C_Inco718_RPM11292_T650_OR253.422_BR67.9885,425,D:\sdfdata\F404HPT\data\raw\pdf\F404_0425.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0425.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0425.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,67.9885,253.422,86.16,8357.669614,7154818.617,15.05536702,103.3414465,0.231845833,0.515865256,0.363123278,0.121011466,58.59796447,1628493.275,48851.75356,10,sdf_meridian_v0.1
F404_0426,C_Inco718_RPM11292_T650_OR247.15_BR72.2655,426,D:\sdfdata\F404HPT\data\raw\pdf\F404_0426.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0426.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0426.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,72.2655,247.15,72.624,7724.139977,6551978.905,12.31578189,100.5920308,0.192379639,0.51280237,0.391854243,0.095343387,53.66070723,1422876.116,56799.18671,10,sdf_meridian_v0.1
F404_0427,C_Inco718_RPM11292_T650_OR256.11_BR66.8315,427,D:\sdfdata\F404HPT\data\raw\pdf\F404_0427.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0427.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0427.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,66.8315,256.11,78.64,8465.030118,7227175.175,15.64182063,100.5922039,0.242306698,0.523846654,0.354429283,0.121724063,59.19056469,1697126.104,48022.9293,10,sdf_meridian_v0.1
F404_0428,C_Inco718_RPM11292_T650_OR253.562_BR66.6105,428,D:\sdfdata\F404HPT\data\raw\pdf\F404_0428.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0428.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0428.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,66.6105,253.562,72.464,8205.662665,6963935.232,16.6718593,100.5921632,0.234990247,0.516169376,0.399410398,0.084420225,57.03462955,1543157.756,44163.87556,10,sdf_meridian_v0.1
F404_0429,C_Inco718_RPM11292_T650_OR244.91_BR69.4965,429,D:\sdfdata\F404HPT\data\raw\pdf\F404_0429.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0429.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0429.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,69.4965,244.91,82.928,7478.850228,6300016.763,14.24184208,97.75733529,0.195114574,0.534252074,0.378824369,0.086923557,51.59713729,1367764.708,48231.3866,10,sdf_meridian_v0.1
F404_0430,C_Inco718_RPM11292_T650_OR244.21_BR72.5645,430,D:\sdfdata\F404HPT\data\raw\pdf\F404_0430.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0430.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0430.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,72.5645,244.21,81.424,7441.737062,6157351.633,13.72677092,100.5921497,0.217359291,0.532822708,0.407298941,0.059878351,50.42870987,1246218.819,49755.53244,10,sdf_meridian_v0.1
F404_0431,C_Inco718_RPM11292_T650_OR252.862_BR72.9935,431,D:\sdfdata\F404HPT\data\raw\pdf\F404_0431.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0431.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0431.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,72.9935,252.862,75.92,7689.348369,6603627.416,13.08782731,100.5922055,0.190324214,0.51203691,0.3828514,0.10511169,54.08370854,1487816.546,55947.72842,10,sdf_meridian_v0.1
F404_0432,C_Inco718_RPM11292_T650_OR244.07_BR67.0265,432,D:\sdfdata\F404HPT\data\raw\pdf\F404_0432.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0432.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0432.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,67.0265,244.07,82.192,7618.487885,6328131.756,14.37418196,98.66572864,0.187425901,0.547411675,0.396846666,0.055741659,51.82739908,1352886.206,47460.08817,10,sdf_meridian_v0.1
F404_0433,C_Inco718_RPM11292_T650_OR244.826_BR67.4815,433,D:\sdfdata\F404HPT\data\raw\pdf\F404_0433.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0433.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0433.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,67.4815,244.826,76.688,7958.845056,6522673.045,13.06369798,100.5920777,0.197609372,0.543987121,0.36347024,0.092542638,53.42069224,1349919.192,52545.05117,10,sdf_meridian_v0.1
F404_0434,C_Inco718_RPM11292_T650_OR248.41_BR71.8885,434,D:\sdfdata\F404HPT\data\raw\pdf\F404_0434.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0434.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0434.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,71.8885,248.41,78.416,7959.199991,6891549.091,15.42316583,100.5920949,0.177444057,0.496771398,0.382578548,0.120650054,56.44178705,1563347.355,45819.19958,10,sdf_meridian_v0.1
